country,state,brewery_type,brewery_count,unique_cities,avg_latitude,avg_longitude,pct_with_coordinates,pct_with_address,aggregation_date
Australia,ACT,micro,7,3,-35.2887,149.1522,100.0,100.0,2025-10-20
Australia,NSW,micro,141,88,-33.063,151.2126,100.0,98.58,2025-10-20
Australia,NSW,large,3,3,-32.1463,150.2275,100.0,100.0,2025-10-20
Australia,NT,micro,3,3,-16.2993,132.0631,100.0,100.0,2025-10-20
Australia,QLD,micro,79,59,-26.1034,152.1311,100.0,100.0,2025-10-20
Australia,QLD,large,2,2,-27.7977,153.2586,100.0,100.0,2025-10-20
Australia,SA,micro,43,34,-35.0185,138.6701,100.0,95.35,2025-10-20
Australia,SA,large,4,4,-35.0458,138.5554,100.0,100.0,2025-10-20
Australia,TAS,micro,24,20,-42.0742,147.1257,100.0,100.0,2025-10-20
Australia,TAS,large,2,2,-42.1639,147.2159,100.0,100.0,2025-10-20
Australia,VIC,micro,151,86,-37.7412,145.027,100.0,99.34,2025-10-20
Australia,VIC,large,8,6,-37.9103,144.8279,100.0,87.5,2025-10-20
Australia,VIC,regional,1,1,-37.8286,144.9371,100.0,100.0,2025-10-20
Australia,WA,micro,43,38,-31.7789,115.7887,100.0,97.67,2025-10-20
Australia,WA,large,3,3,-31.9017,115.9323,100.0,100.0,2025-10-20
Austria,K%C3%A4rnten,large,2,2,46.6292,14.0692,100.0,100.0,2025-10-20
Austria,K%C3%A4rnten,nano,1,1,46.8399,14.356,100.0,100.0,2025-10-20
Austria,Niedersterreich,large,2,2,48.1411,15.8095,100.0,100.0,2025-10-20
Austria,Ober%C3%B6sterreich,large,1,1,48.0368,13.504,100.0,100.0,2025-10-20
Austria,Ober%C3%B6sterreich,nano,1,1,48.4986,13.7346,100.0,100.0,2025-10-20
Austria,Salzburg,large,1,1,47.7941,13.0203,100.0,100.0,2025-10-20
Austria,Steiermark,large,4,4,47.2234,14.594,100.0,100.0,2025-10-20
Austria,Steiermark,bar,2,2,47.0976,15.5481,100.0,100.0,2025-10-20
Austria,Steiermark,brewpub,1,1,46.9129,15.4552,100.0,100.0,2025-10-20
England,East%20Sussex,micro,21,13,50.9125,0.1028,100.0,100.0,2025-10-20
England,East%20Sussex,brewpub,5,4,50.8207,0.0872,100.0,100.0,2025-10-20
England,East%20Sussex,taproom,4,3,50.8874,0.1468,100.0,100.0,2025-10-20
England,East%20Sussex,large,1,1,50.8742,0.0175,100.0,100.0,2025-10-20
England,West%20Sussex,micro,19,11,50.9441,-0.3602,100.0,100.0,2025-10-20
England,West%20Sussex,taproom,7,4,51.0097,-0.34,100.0,100.0,2025-10-20
England,West%20Sussex,brewpub,5,5,50.9014,-0.4281,100.0,100.0,2025-10-20
