country,state,brewery_type,brewery_count,unique_cities,avg_latitude,avg_longitude,pct_with_coordinates,pct_with_address,aggregation_date
Australia,ACT,micro,7,3,-35.2887,149.1522,100.0,100.0,2025-10-20
Australia,ACT,bar,0,0,,,,,2025-10-20
Australia,ACT,beergarden,0,0,,,,,2025-10-20
Australia,ACT,brewpub,0,0,,,,,2025-10-20
Australia,ACT,closed,0,0,,,,,2025-10-20
Australia,ACT,contract,0,0,,,,,2025-10-20
Australia,ACT,large,0,0,,,,,2025-10-20
Australia,ACT,location,0,0,,,,,2025-10-20
Australia,ACT,nano,0,0,,,,,2025-10-20
Australia,ACT,planning,0,0,,,,,2025-10-20
Australia,ACT,proprietor,0,0,,,,,2025-10-20
Australia,ACT,regional,0,0,,,,,2025-10-20
Australia,ACT,taproom,0,0,,,,,2025-10-20
Australia,NSW,micro,141,88,-33.063,151.2126,100.0,98.58,2025-10-20
Australia,NSW,large,3,3,-32.1463,150.2275,100.0,100.0,2025-10-20
Australia,NSW,bar,0,0,,,,,2025-10-20
Australia,NSW,beergarden,0,0,,,,,2025-10-20
Australia,NSW,brewpub,0,0,,,,,2025-10-20
Australia,NSW,closed,0,0,,,,,2025-10-20
Australia,NSW,contract,0,0,,,,,2025-10-20
Australia,NSW,location,0,0,,,,,2025-10-20
Australia,NSW,nano,0,0,,,,,2025-10-20
Australia,NSW,planning,0,0,,,,,2025-10-20
Australia,NSW,proprietor,0,0,,,,,2025-10-20
Australia,NSW,regional,0,0,,,,,2025-10-20
Australia,NSW,taproom,0,0,,,,,2025-10-20
Australia,NT,micro,3,3,-16.2993,132.0631,100.0,100.0,2025-10-20
Australia,NT,bar,0,0,,,,,2025-10-20
Australia,NT,beergarden,0,0,,,,,2025-10-20
Australia,NT,brewpub,0,0,,,,,2025-10-20
Australia,NT,closed,0,0,,,,,2025-10-20
Australia,NT,contract,0,0,,,,,2025-10-20
Australia,NT,large,0,0,,,,,2025-10-20
Australia,NT,location,0,0,,,,,2025-10-20
Australia,NT,nano,0,0,,,,,2025-10-20
Australia,NT,planning,0,0,,,,,2025-10-20
Australia,NT,proprietor,0,0,,,,,2025-10-20
Australia,NT,regional,0,0,,,,,2025-10-20
Australia,NT,taproom,0,0,,,,,2025-10-20
Australia,QLD,micro,79,59,-26.1034,152.1311,100.0,100.0,2025-10-20
Australia,QLD,large,2,2,-27.7977,153.2586,100.0,100.0,2025-10-20
Australia,QLD,bar,0,0,,,,,2025-10-20
Australia,QLD,beergarden,0,0,,,,,2025-10-20
Australia,QLD,brewpub,0,0,,,,,2025-10-20
Australia,QLD,closed,0,0,,,,,2025-10-20
Australia,QLD,contract,0,0,,,,,2025-10-20
Australia,QLD,location,0,0,,,,,2025-10-20
Australia,QLD,nano,0,0,,,,,2025-10-20
Australia,QLD,planning,0,0,,,,,2025-10-20
Australia,QLD,proprietor,0,0,,,,,2025-10-20
Australia,QLD,regional,0,0,,,,,2025-10-20
Australia,QLD,taproom,0,0,,,,,2025-10-20
